,Title,title_year,budget,Gross,actor_1_name,actor_2_name,actor_3_name,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,IMDb_rating,genre_1,genre_2,genre_3,Runtime,content_rating,Country
0,La La Land,2016,30000000,151101803,Ryan Gosling,Emma Stone,Amiée Conn,14000,19000.0,,8.2,Comedy,Drama,Music,128,PG-13,USA
1,Zootopia,2016,150000000,341268248,Ginnifer Goodwin,Jason Bateman,Idris Elba,2800,28000.0,27000.0,8.1,Animation,Adventure,Comedy,108,PG,USA
2,Lion,2016,12000000,51738905,Dev Patel,Nicole Kidman,Rooney Mara,33000,96000.0,9800.0,8.1,Biography,Drama,,118,PG-13,Australia
3,Arrival,2016,47000000,100546139,Amy Adams,Jeremy Renner,Forest Whitaker,35000,5300.0,,8.0,Drama,Mystery,Sci-Fi,116,PG-13,USA
4,Manchester by the Sea,2016,9000000,47695371,Casey Affleck,Michelle Williams ,Kyle Chandler,518,71000.0,3300.0,7.9,Drama,,,137,R,USA
5,Hell or High Water,2016,12000000,27007844,Chris Pine,Jeff Bridges,Ben Foster,19000,12000.0,9000.0,7.7,Crime,Drama,Thriller,102,R,USA
6,Doctor Strange,2016,165000000,232641920,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,19000,,46000.0,7.6,Action,Adventure,Fantasy,115,PG-13,USA
7,Tangled,2010,260000000,200807262,Brad Garrett,Donna Murphy,M.C. Gainey,799,553.0,284.0,7.8,Animation,Adventure,Comedy,124,PG,USA
8,The Dark Knight Rises,2012,250000000,448130642,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,27000,23000.0,23000.0,8.4,Action,Thriller,,164,PG-13,USA
9,Captain America: Civil War,2016,250000000,407197282,Robert Downey Jr.,Scarlett Johansson,Chris Evans,21000,19000.0,11000.0,7.9,Action,Adventure,Sci-Fi,147,PG-13,USA
10,The Hobbit: The Desolation of Smaug,2013,225000000,258355354,Aidan Turner,Adam Brown,James Nesbitt,5000,972.0,773.0,7.9,Adventure,Fantasy,,161,PG-13,USA
11,The Avengers,2012,220000000,623279547,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,26000,21000.0,19000.0,8.1,Action,Sci-Fi,,143,PG-13,USA
12,Toy Story 3,2010,200000000,414984497,Tom Hanks,John Ratzenberger,Don Rickles,15000,1000.0,721.0,8.3,Animation,Adventure,Comedy,103,G,USA
13,Skyfall,2012,200000000,304360277,Albert Finney,Helen McCrory,Rory Kinnear,883,563.0,393.0,7.8,Action,Adventure,Thriller,143,PG-13,UK
14,X-Men: Days of Future Past,2014,200000000,233914986,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,34000,22000.0,20000.0,8.0,Action,Adventure,Sci-Fi,132,PG-13,USA
15,Star Trek Into Darkness,2013,190000000,228756232,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,19000,981.0,928.0,7.8,Action,Adventure,Sci-Fi,132,PG-13,USA
16,The Hobbit: An Unexpected Journey,2012,180000000,303001229,Aidan Turner,Adam Brown,James Nesbitt,5000,972.0,773.0,7.9,Adventure,Fantasy,,169,PG-13,USA
17,Edge of Tomorrow,2014,178000000,100189501,Tom Cruise,Lara Pulver,Noah Taylor,10000,854.0,509.0,7.9,Action,Adventure,Sci-Fi,113,PG-13,USA
18,Inside Out,2015,175000000,356454367,Amy Poehler,Mindy Kaling,Phyllis Smith,1000,767.0,384.0,8.2,Animation,Adventure,Comedy,95,PG,USA
19,Guardians of the Galaxy,2014,170000000,333130696,Bradley Cooper,Vin Diesel,Djimon Hounsou,14000,14000.0,3000.0,8.1,Action,Adventure,Sci-Fi,121,PG-13,USA
20,Captain America: The Winter Soldier,2014,170000000,259746958,Scarlett Johansson,Chris Evans,Hayley Atwell,19000,11000.0,2000.0,7.8,Action,Adventure,Sci-Fi,136,PG-13,USA
21,Dawn of the Planet of the Apes,2014,170000000,208543795,Gary Oldman,Judy Greer,Kodi Smit-McPhee,10000,2000.0,884.0,7.6,Action,Adventure,Drama,130,PG-13,USA
22,Hugo,2011,170000000,73820094,ChloÃ« Grace Moretz,Christopher Lee,Ray Winstone,17000,16000.0,1000.0,7.5,Adventure,Drama,Family,126,PG,USA
23,Big Hero 6,2014,165000000,222487711,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,756,719.0,562.0,7.8,Animation,Action,Adventure,124,PG,USA
24,How to Train Your Dragon,2010,165000000,217387997,Gerard Butler,America Ferrera,Craig Ferguson,18000,953.0,759.0,8.1,Animation,Action,Adventure,124,PG,USA
25,Wreck-It Ralph,2012,165000000,189412677,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,975,931.0,833.0,7.7,Animation,Adventure,Comedy,124,PG,USA
26,Interstellar,2014,165000000,187991439,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,11000,11000.0,6000.0,8.6,Adventure,Drama,Sci-Fi,169,PG-13,USA
27,Inception,2010,160000000,292568851,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,29000,27000.0,23000.0,8.8,Action,Adventure,Sci-Fi,148,PG-13,USA
28,X-Men: First Class,2011,160000000,146405371,Jennifer Lawrence,Michael Fassbender,Oliver Platt,34000,13000.0,1000.0,7.8,Action,Adventure,Sci-Fi,132,PG-13,USA
29,Mad Max: Fury Road,2015,150000000,153629485,Tom Hardy,Charlize Theron,ZoÃ« Kravitz,27000,9000.0,943.0,8.1,Action,Adventure,Sci-Fi,120,R,Australia
30,How to Train Your Dragon 2,2014,145000000,176997107,Gerard Butler,Djimon Hounsou,America Ferrera,18000,3000.0,953.0,7.9,Animation,Action,Adventure,124,PG,USA
31,The Revenant,2015,135000000,183635922,Leonardo DiCaprio,Tom Hardy,Lukas Haas,29000,27000.0,733.0,8.0,Adventure,Drama,Thriller,156,R,USA
32,The Hunger Games: Catching Fire,2013,130000000,424645577,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,34000,14000.0,523.0,7.6,Action,Adventure,Mystery,146,PG-13,USA
33,The Martian,2015,108000000,228430993,Matt Damon,Donald Glover,Benedict Wong,13000,801.0,372.0,8.0,Adventure,Drama,Sci-Fi,144,PG-13,USA
34,Gravity,2013,100000000,274084951,Phaldut Sharma,Basher Savage,Amy Warren,39,23.0,13.0,7.8,Drama,Sci-Fi,Thriller,91,PG-13,UK
35,Django Unchained,2012,100000000,162804648,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,29000,11000.0,265.0,8.4,Drama,Western,,165,R,USA
36,The Wolf of Wall Street,2013,100000000,116866727,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,29000,11000.0,4000.0,8.2,Biography,Comedy,Crime,180,R,USA
37,Rise of the Planet of the Apes,2011,93000000,176740650,James Franco,David Oyelowo,Tyler Labine,11000,1000.0,779.0,7.6,Action,Drama,Sci-Fi,124,PG-13,USA
38,The Girl with the Dragon Tattoo,2011,90000000,102515793,Robin Wright,Goran Visnjic,Joely Richardson,18000,1000.0,585.0,7.8,Crime,Drama,Mystery,158,R,USA
39,The Little Prince,2015,81200000,1339152,Jeff Bridges,James Franco,Mackenzie Foy,12000,11000.0,6000.0,7.8,Animation,Adventure,Drama,108,PG,France
40,Shutter Island,2010,80000000,127968405,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,29000,223.0,163.0,8.1,Mystery,Thriller,,138,R,USA
41,Despicable Me,2010,69000000,251501645,Steve Carell,Miranda Cosgrove,Jack McBrayer,7000,2000.0,975.0,7.7,Animation,Adventure,Comedy,124,PG,USA
42,Fury,2014,68000000,85707116,Brad Pitt,Logan Lerman,Jim Parrack,11000,8000.0,697.0,7.6,Action,Drama,War,134,R,USA
43,Gone Girl,2014,61000000,167735396,Patrick Fugit,Sela Ward,Emily Ratajkowski,835,812.0,625.0,8.1,Crime,Drama,Mystery,149,R,USA
44,Les MisÃ©rables,2012,61000000,148775460,Hugh Jackman,Eddie Redmayne,Anne Hathaway,20000,13000.0,11000.0,7.6,Drama,Musical,Romance,158,PG-13,USA
45,The Lego Movie,2014,60000000,257756197,Morgan Freeman,Will Ferrell,Alison Brie,11000,8000.0,2000.0,7.8,Animation,Action,Adventure,100,PG,Australia
46,Scott Pilgrim vs. the World,2010,60000000,31494270,Anna Kendrick,Kieran Culkin,Ellen Wong,10000,1000.0,719.0,7.5,Action,Comedy,Romance,112,PG-13,USA
47,Deadpool,2016,58000000,363024263,Ryan Reynolds,Ed Skrein,Stefan Kapicic,16000,805.0,361.0,8.0,Action,Adventure,Comedy,108,R,USA
48,Captain Phillips,2013,55000000,107100855,Tom Hanks,Chris Mulkey,Michael Chernus,15000,535.0,186.0,7.8,Biography,Drama,Thriller,134,PG-13,USA
49,Moneyball,2011,50000000,75605492,Philip Seymour Hoffman,Robin Wright,Brad Pitt,22000,18000.0,11000.0,7.6,Biography,Drama,Sport,133,PG-13,USA
50,Prisoners,2013,46000000,60962878,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,20000,15000.0,1000.0,8.1,Crime,Drama,Mystery,153,R,USA
51,Argo,2012,44500000,136019448,Clea DuVall,Scoot McNairy,Tate Donovan,1000,660.0,650.0,7.7,Action,Biography,Drama,120,R,USA
52,Lone Survivor,2013,40000000,125069696,Jerry Ferrara,Scott Elrod,Dan Bilzerian,480,449.0,127.0,7.5,Action,Biography,Drama,121,R,USA
53,The Social Network,2010,40000000,96917897,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,10000,349.0,81.0,7.7,Biography,Drama,,120,PG-13,USA
54,Bridge of Spies,2015,40000000,72306065,Tom Hanks,Mark Rylance,Amy Ryan,15000,535.0,423.0,7.6,Drama,History,Thriller,142,PG-13,USA
55,True Grit,2010,38000000,171031347,Matt Damon,Jeff Bridges,Bruce Green,13000,12000.0,538.0,7.6,Adventure,Drama,Western,110,PG-13,USA
56,Rush,2013,38000000,26903709,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,26000,10000.0,471.0,8.1,Action,Biography,Drama,123,R,UK
57,The Town,2010,37000000,92173235,Jeremy Renner,Jon Hamm,Owen Burke,10000,4000.0,206.0,7.6,Crime,Drama,Thriller,125,R,USA
58,Creed,2015,35000000,109712885,Sylvester Stallone,Phylicia Rashad,Graham McTavish,13000,597.0,531.0,7.6,Drama,Sport,,133,PG-13,USA
59,Kick-Ass,2010,30000000,48043505,Elizabeth McGovern,Deborah Twiss,Michael Rispoli,553,488.0,385.0,7.7,Action,Comedy,,117,R,UK
60,Sicario,2015,30000000,46875468,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya,455,221.0,219.0,7.6,Action,Crime,Drama,121,R,USA
61,Straight Outta Compton,2015,28000000,161029270,Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor,559,427.0,303.0,7.9,Biography,Drama,History,147,R,USA
62,The Big Short,2015,28000000,70235322,Ryan Gosling,Christian Bale,Charlie Talbert,33000,23000.0,767.0,7.8,Biography,Comedy,Drama,130,R,USA
63,The Help,2011,25000000,169705587,Emma Stone,Bryce Dallas Howard,Mike Vogel,15000,3000.0,2000.0,8.1,Drama,,,146,PG-13,USA
64,The Fighter,2010,25000000,93571803,Christian Bale,Jack McGee,Melissa McMeekin,23000,238.0,141.0,7.8,Action,Biography,Drama,116,R,USA
65,The Grand Budapest Hotel,2014,25000000,59073773,Bill Murray,Tom Wilkinson,F. Murray Abraham,13000,1000.0,670.0,8.1,Adventure,Comedy,Drama,99,R,USA
66,Warrior,2011,25000000,13651662,Tom Hardy,Frank Grillo,Kevin Dunn,27000,798.0,581.0,8.2,Action,Drama,Sport,140,PG-13,USA
67,Her,2013,23000000,25556065,Scarlett Johansson,Brian Johnson,Matt Letscher,19000,128.0,105.0,8.0,Drama,Romance,Sci-Fi,126,R,USA
68,Silver Linings Playbook,2012,21000000,132088910,Jennifer Lawrence,Robert De Niro,Bradley Cooper,34000,22000.0,14000.0,7.8,Comedy,Drama,Romance,122,R,USA
69,12 Years a Slave,2013,20000000,56667870,QuvenzhanÃ© Wallis,Scoot McNairy,Taran Killam,2000,660.0,500.0,8.1,Biography,Drama,History,134,R,USA
70,Spotlight,2015,20000000,44988180,Billy Crudup,Jamey Sheridan,Brian d'Arcy James,745,168.0,77.0,8.1,Crime,Drama,History,128,R,USA
71,The Book Thief,2013,19000000,21483154,Emily Watson,Sophie NÃ©lisse,Roger Allam,876,526.0,326.0,7.6,Drama,War,,131,PG-13,USA
72,Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,42335698,Emma Stone,Naomi Watts,Merritt Wever,15000,6000.0,529.0,7.8,Comedy,Drama,,119,R,USA
73,127 Hours,2010,18000000,18329466,James Franco,Treat Williams,Kate Burton,11000,642.0,223.0,7.6,Adventure,Biography,Drama,94,R,USA
74,Midnight in Paris,2011,17000000,56816662,Kurt Fuller,Audrey Fleurot,Nina Arianda,617,204.0,183.0,7.7,Comedy,Fantasy,Romance,124,PG-13,Spain
75,Moonrise Kingdom,2012,16000000,45507053,Bruce Willis,Bill Murray,Bob Balaban,13000,13000.0,559.0,7.8,Adventure,Comedy,Drama,94,PG-13,USA
76,The King's Speech,2010,15000000,138795342,Colin Firth,Jennifer Ehle,Derek Jacobi,14000,1000.0,520.0,8.0,Biography,Drama,,118,R,UK
77,The Artist,2011,15000000,44667095,BÃ©rÃ©nice Bejo,Ed Lauter,Beth Grant,996,897.0,628.0,7.9,Comedy,Drama,Romance,100,PG-13,France
78,The Theory of Everything,2014,15000000,35887263,Eddie Redmayne,Emily Watson,Simon McBurney,13000,876.0,149.0,7.7,Biography,Drama,Romance,123,PG-13,UK
79,Drive,2011,15000000,35054909,Ryan Gosling,Albert Brooks,Russ Tamblyn,33000,745.0,228.0,7.8,Crime,Drama,,100,R,USA
80,Ex Machina,2014,15000000,25440971,Elina Alminas,Sonoya Mizuno,Corey Johnson,149,145.0,123.0,7.7,Drama,Mystery,Sci-Fi,108,R,UK
81,The Imitation Game,2014,14000000,91121452,Benedict Cumberbatch,Rory Kinnear,Allen Leech,19000,393.0,305.0,8.1,Biography,Drama,Thriller,114,PG-13,UK
82,Flipped,2010,14000000,1752214,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,1000,872.0,767.0,7.7,Comedy,Drama,Romance,124,PG,USA
83,Black Swan,2010,13000000,106952327,Natalie Portman,Mila Kunis,Mark Margolis,20000,15000.0,1000.0,8.0,Drama,Thriller,,108,R,USA
84,The Perks of Being a Wallflower,2012,13000000,17738570,Logan Lerman,Ezra Miller,Kate Walsh,8000,3000.0,850.0,8.0,Drama,Romance,,102,PG-13,USA
85,The Fault in Our Stars,2014,12000000,124868837,Shailene Woodley,Sam Trammell,Nat Wolff,8000,1000.0,733.0,7.8,Drama,Romance,,126,PG-13,USA
86,Philomena,2013,12000000,37707719,Steve Coogan,Mare Winningham,Peter Hermann,1000,482.0,322.0,7.6,Biography,Drama,,98,PG-13,UK
87,Nebraska,2013,12000000,17613460,Devin Ratray,Bruce Dern,Will Forte,1000,844.0,622.0,7.7,Adventure,Comedy,Drama,115,R,USA
88,About Time,2013,12000000,15294553,Tom Hughes,Tom Hollander,Lindsay Duncan,565,555.0,171.0,7.8,Comedy,Drama,Fantasy,123,R,UK
89,Amour,2012,8900000,225377,Isabelle Huppert,Emmanuelle Riva,Jean-Louis Trintignant,678,432.0,319.0,7.9,Drama,Romance,,127,PG-13,France
90,Nightcrawler,2014,8500000,32279955,Jake Gyllenhaal,Michael Papajohn,James Huang,15000,241.0,85.0,7.9,Crime,Drama,Thriller,118,R,USA
91,50/50,2011,8000000,34963967,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,23000,10000.0,3000.0,7.7,Comedy,Drama,Romance,100,R,USA
92,End of Watch,2012,7000000,40983001,Jake Gyllenhaal,Anna Kendrick,America Ferrera,15000,10000.0,953.0,7.7,Crime,Drama,Thriller,109,R,USA
93,Dallas Buyers Club,2013,5000000,27296514,Matthew McConaughey,Jennifer Garner,Denis O'Hare,11000,3000.0,896.0,8.0,Biography,Drama,,117,R,USA
94,Boyhood,2014,4000000,25359200,Ellar Coltrane,Lorelei Linklater,Libby Villari,230,193.0,127.0,7.9,Drama,,,165,R,USA
95,Whiplash,2014,3300000,13092000,J.K. Simmons,Melissa Benoist,Chris Mulkey,24000,970.0,535.0,8.5,Drama,Music,,107,R,USA
96,Before Midnight,2013,3000000,8114507,Seamus Davey-Fitzpatrick,Ariane Labed,Athina Rachel Tsangari,140,63.0,48.0,7.9,Drama,Romance,,109,R,USA
97,Star Wars: Episode VII - The Force Awakens,2015,245000000,936662225,Doug Walker,Rob Walker,0,131,12.0,0.0,8.1,Action,Adventure,Fantasy,136,PG-13,USA
98,Harry Potter and the Deathly Hallows: Part I,2010,150000000,296347721,Rupert Grint,Toby Jones,Alfred Enoch,10000,2000.0,1000.0,7.7,Adventure,Family,Fantasy,146,PG-13,UK
99,Tucker and Dale vs Evil,2010,5000000,223838,Katrina Bowden,Tyler Labine,Chelan Simmons,948,779.0,440.0,7.6,Comedy,Horror,,124,R,Canada
